"","group","Nspp","Supporting_edge_length","Nearest_neighbour_node_distance","Descendent_edge_length"
"1682","Malacothrix typica",1,0.0740742939933021,0.103169607866423,0
"1683","Megadendromus nikolausi",1,0.0740742939933021,0.103169607866423,0
"1684","Myospalax aspalax|Myospalax epsilanus|Myospalax fontanierii|Myospalax myospalax|Myospalax psilurus|Myospalax rothschildi|Myospalax smithii",7,0.0574484003515189,0.0865437142246396,0.173829655844002
"1685","Myospalax aspalax",1,0.0166258936417832,0.0332517872835665,0
"1686","Myospalax epsilanus",1,0.0166258936417832,0.0332517872835665,0
"1687","Myospalax fontanierii",1,0.0166258936417832,0.0332517872835665,0
"1688","Myospalax myospalax",1,0.0166258936417832,0.0332517872835665,0
"1689","Myospalax psilurus",1,0.0166258936417832,0.0332517872835665,0
"1690","Myospalax rothschildi",1,0.0166258936417832,0.0332517872835665,0
"1691","Myospalax smithii",1,0.0166258936417832,0.0332517872835665,0
"1692","Mystromys albicaudatus",1,0.0740742939933021,0.103169607866423,0
"1693","Nannospalax ehrenbergi|Nannospalax leucodon|Nannospalax nehringi|Spalax arenarius|Spalax giganteus|Spalax graecus|Spalax microphthalmus|Spalax zemni",8,0.0429007434149586,0.0719960572880792,0.231723392632354
"1694","Nannospalax ehrenbergi|Nannospalax leucodon|Nannospalax nehringi",3,0.0115787473576705,0.0209308125311735,0.0703631570196898
"1695","Nannospalax ehrenbergi",1,0.0195948032206731,0.0391896064413462,0
"1696","Nannospalax leucodon",1,0.0195948032206731,0.0391896064413462,0
"1697","Nannospalax nehringi",1,0.0195948032206731,0.0391896064413462,0
"1698","Spalax arenarius|Spalax giganteus|Spalax graecus|Spalax microphthalmus|Spalax zemni",5,0.00935206517350308,0.0209308125311735,0.118459492197706
"1699","Spalax arenarius",1,0.0218214854048405,0.043642970809681,0
"1700","Spalax giganteus",1,0.0218214854048405,0.043642970809681,0
"1701","Spalax graecus",1,0.0218214854048405,0.043642970809681,0
"1702","Spalax microphthalmus",1,0.0218214854048405,0.043642970809681,0
"1703","Spalax zemni",1,0.0218214854048405,0.043642970809681,0
"1704","Platacanthomys lasiurus|Typhlomys chapensis|Typhlomys cinereus",3,0.0586359641830748,0.0877312780561955,0.0988646889770325
"1705","Platacanthomys lasiurus",1,0.0154383298102273,0.0215245944469515,0
"1706","Typhlomys chapensis|Typhlomys cinereus",2,0.00608626463672422,0.0215245944469515,0.0247903949837304
"1707","Typhlomys chapensis",1,0.00935206517350308,0.0187041303470062,0
"1708","Typhlomys cinereus",1,0.00935206517350308,0.0187041303470062,0
"1709","Prionomys batesi",1,0.0740742939933021,0.103169607866423,0
"1710","Castor canadensis|Castor fiber|Perognathus alticola|Perognathus amplus|Perognathus fasciatus|Perognathus flavescens|Perognathus flavus|Perognathus inornatus|Perognathus longimembris|Perognathus merriami|Perognathus parvus|Perognathus xanthanotus|Chaetodipus formosus|Microdipodops megacephalus|Microdipodops pallidus|Thomomys bulbivorus|Thomomys talpoides|Thomomys monticola|Thomomys mazama|Geomys pinetis|Dipodomys deserti|Thomomys umbrinus|Pappogeomys bulleri|Pappogeomys merriami|Pappogeomys castanops|Pappogeomys gymnurus|Pappogeomys tylorhinus|Pappogeomys neglectus|Pappogeomys zinseri|Pappogeomys fumosus|Pappogeomys alcorni|Zygogeomys trichopus|Chaetodipus arenarius|Chaetodipus baileyi|Chaetodipus hispidus|Dipodomys compactus|Dipodomys spectabilis|Dipodomys nelsoni|Thomomys bottae|Thomomys townsendii|Geomys personatus|Geomys tropicalis|Geomys bursarius|Geomys arenarius|Heteromys gaumeri|Orthogeomys heterodus|Orthogeomys hispidus|Orthogeomys grandis|Orthogeomys cherriei|Orthogeomys underwoodi|Orthogeomys dariensis|Orthogeomys cavator|Orthogeomys cuniculus|Orthogeomys lanius|Orthogeomys matagalpae|Orthogeomys thaeleri|Dipodomys ordii|Dipodomys elator|Dipodomys phillipsii|Dipodomys californicus|Dipodomys insularis|Chaetodipus pernix|Chaetodipus californicus|Dipodomys gravipes|Dipodomys ingens|Dipodomys panamintinus|Dipodomys microps|Dipodomys merriami|Dipodomys nitratoides|Heteromys nelsoni|Heteromys anomalus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Dipodomys heermanni|Dipodomys stephensi|Dipodomys agilis|Heteromys oresterus|Heteromys australis|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus|Dipodomys venustus|Dipodomys elephantinus|Heteromys goldmani|Heteromys desmarestianus|Liomys adspersus|Liomys salvini|Liomys irroratus|Liomys pictus|Liomys spectabilis",93,0.0139538750207824,0.0152898843312828,1.45684393036126
"1711","Castor canadensis|Castor fiber",2,0.0886219509298625,0.142656105265658,0.123951974918652
"1712","Castor canadensis",1,0.0176650119943947,0.0353300239887894,0
"1713","Castor fiber",1,0.0176650119943947,0.0353300239887894,0
