"Status","Order","Family","Genus","Binomial","Log_mass","Combined_mass","Ancestral.mass","Mass.change"
"extant","Rodentia","Muridae","Notiomys","Notiomys edwardsii",1.33,21.3,2.788125,1.458125
"extant","Rodentia","Muridae","Oligoryzomys","Oligoryzomys flavescens",1.33,21.3,2.788125,1.458125
"extant","Rodentia","Muridae","Rhagomys","Rhagomys rufescens",1.33,21.2,2.788125,1.458125
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger sericeus",3.3,2003,4.76243902439024,1.46243902439024
"extant","Carnivora","Felidae","Prionailurus","Prionailurus rubiginosus",3.14,1384.4,4.60282608695652,1.46282608695652
"extant","Primates","Cebidae","Saimiri","Saimiri sciureus",2.87,743.2,4.338,1.468
"extant","Rodentia","Muridae","Acomys","Acomys subspinosus",1.32,21,2.788125,1.468125
"extant","Rodentia","Muridae","Petromyscus","Petromyscus monticularis",1.32,20.7,2.788125,1.468125
"extant","Rodentia","Muridae","Steatomys","Steatomys krebsii",1.32,20.7,2.788125,1.468125
"extant","Rodentia","Muridae","Akodon","Akodon puer",1.32,20.7,2.788125,1.468125
"extant","Carnivora","Mustelidae","Mustela","Mustela eversmannii",3.13,1350,4.60282608695652,1.47282608695652
"extant","Carnivora","Procyonidae","Nasuella","Nasuella olivacea",3.13,1340,4.60282608695652,1.47282608695652
"extant","Rodentia","Muridae","Acomys","Acomys louisae",1.31,20.2,2.788125,1.478125
"extant","Rodentia","Muridae","Calomyscus","Calomyscus bailwardi",1.31,20.4,2.788125,1.478125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys spectabilis",1.31,20.2,2.788125,1.478125
"extant","Rodentia","Muridae","Microtus","Microtus oregoni",1.31,20.3,2.788125,1.478125
"extant","Rodentia","Muridae","Oligoryzomys","Oligoryzomys nigripes",1.31,20.5,2.788125,1.478125
"extant","Rodentia","Muridae","Phyllotis","Phyllotis amicus",1.31,20.2,2.788125,1.478125
"extant","Diprotodontia","Potoroidae","Potorous","Potorous longipes",3.28,1900,4.76243902439024,1.48243902439024
"extant","Carnivora","Herpestidae","Herpestes","Herpestes edwardsii",3.12,1324.2,4.60282608695652,1.48282608695652
"extant","Primates","Megaladapidae","Lepilemur","Lepilemur edwardsi",2.85,700,4.338,1.488
"extant","Primates","Callitrichidae","Leontopithecus","Leontopithecus chrysomela",2.85,700,4.338,1.488
"extant","Primates","Callitrichidae","Leontopithecus","Leontopithecus chrysopygus",2.85,700,4.338,1.488
"extant","Rodentia","Muridae","Hylomyscus","Hylomyscus alleni",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Petromyscus","Petromyscus collinus",1.3,20,2.788125,1.488125
"extant","Rodentia","Myoxidae","Graphiurus","Graphiurus murinus",1.3,20.2,2.788125,1.488125
"extant","Rodentia","Muridae","Leggadina","Leggadina forresti",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Pseudomys","Pseudomys apodemoides",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Pseudomys","Pseudomys novaehollandiae",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Microtus","Microtus savii",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys burti",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys hirsutus",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys microdon",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys tenuirostris",1.3,20,2.788125,1.488125
"extant","Rodentia","Muridae","Akodon","Akodon nigrita",1.3,19.9,2.788125,1.488125
"extant","Rodentia","Muridae","Calomys","Calomys musculinus",1.3,20.1,2.788125,1.488125
"extant","Rodentia","Muridae","Calomys","Calomys sorellus",1.3,20,2.788125,1.488125
"extant","Rodentia","Castoridae","Castor","Castor fiber",4.28,19000,2.788125,1.491875
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger vestitus",3.27,1850,4.76243902439024,1.49243902439024
"extant","Carnivora","Felidae","Felis","Felis nigripes",3.11,1300,4.60282608695652,1.49282608695652
"extant","Carnivora","Mustelidae","Ictonyx","Ictonyx striatus",3.11,1300,4.60282608695652,1.49282608695652
"extant","Carnivora","Mustelidae","Martes","Martes martes",3.11,1300,4.60282608695652,1.49282608695652
"extant","Primates","Loridae","Nycticebus","Nycticebus coucang",2.845,803.5,4.338,1.493
"extant","Primates","Megaladapidae","Lepilemur","Lepilemur ruficaudatus",2.845,700,4.338,1.493
"extant","Rodentia","Muridae","Microtus","Microtus subterraneus",1.29,19.5,2.788125,1.498125
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus formosus",1.29,19.5,2.788125,1.498125
"extant","Diprotodontia","Macropodidae","Dorcopsulus","Dorcopsulus vanheurni",3.26,1821.5,4.76243902439024,1.50243902439024
"extant","Carnivora","Herpestidae","Crossarchus","Crossarchus obscurus",3.1,1250,4.60282608695652,1.50282608695652
"extant","Carnivora","Mustelidae","Martes","Martes americana",3.1,1250,4.60282608695652,1.50282608695652
"extant","Carnivora","Procyonidae","Bassaricyon","Bassaricyon gabbii",3.1,1250,4.60282608695652,1.50282608695652
"extant","Rodentia","Muridae","Hylomyscus","Hylomyscus stella",1.28,19.1,2.788125,1.508125
"extant","Rodentia","Sciuridae","Exilisciurus","Exilisciurus exilis",1.28,19,2.788125,1.508125
"extant","Rodentia","Muridae","Clethrionomys","Clethrionomys gapperi",1.28,19,2.788125,1.508125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys chrysopsis",1.28,19,2.788125,1.508125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys sumichrasti",1.28,19,2.788125,1.508125
"extant","Rodentia","Muridae","Chilomys","Chilomys instans",1.28,19,2.788125,1.508125
"extant","Rodentia","Muridae","Neacomys","Neacomys tenuipes",1.28,19,2.788125,1.508125
"extant","Rodentia","Muridae","Neacomys","Neacomys spinosus",1.28,19,2.788125,1.508125
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger ornatus",3.25,1787.5,4.76243902439024,1.51243902439024
"extant","Carnivora","Procyonidae","Bassaricyon","Bassaricyon alleni",3.09,1235,4.60282608695652,1.51282608695652
"extant","Carnivora","Procyonidae","Bassaricyon","Bassaricyon beddardi",3.09,1235,4.60282608695652,1.51282608695652
"extant","Dasyuromorphia","Dasyuridae","Dasyurus","Dasyurus hallucatus",2.72,525,4.23666666666667,1.51666666666667
"extant","Rodentia","Muridae","Acomys","Acomys wilsoni",1.27,18.5,2.788125,1.518125
"extant","Rodentia","Muridae","Muriculus","Muriculus imberbis",1.27,18.5,2.788125,1.518125
"extant","Rodentia","Muridae","Neohydromys","Neohydromys fuscus",1.27,18.8,2.788125,1.518125
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus fallax",1.27,18.7,2.788125,1.518125
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger intercastellanus",3.24,1747.5,4.76243902439024,1.52243902439024
"extant","Diprotodontia","Pseudocheiridae","Pseudochirops","Pseudochirops cupreus",3.24,1724.5,4.76243902439024,1.52243902439024
"extant","Carnivora","Mustelidae","Conepatus","Conepatus semistriatus",3.08,1200,4.60282608695652,1.52282608695652
"extant","Carnivora","Procyonidae","Bassaricyon","Bassaricyon lasius",3.08,1200,4.60282608695652,1.52282608695652
"extant","Carnivora","Procyonidae","Bassaricyon","Bassaricyon pauli",3.08,1200,4.60282608695652,1.52282608695652
"extant","Primates","Megaladapidae","Lepilemur","Lepilemur leucopus",2.815,650,4.338,1.523
"extant","Rodentia","Muridae","Clethrionomys","Clethrionomys californicus",1.26,18.3,2.788125,1.528125
"extant","Rodentia","Muridae","Chroeomys","Chroeomys andinus",1.26,18,2.788125,1.528125
