"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Anoura latidens","Anoura latidens",2440,5924,14.7,14.7,-1.77635683940025e-15,9,1.97372982155583e-16
"Peromyscus merriami","Peromyscus merriami",589,3645,40,40,7.105427357601e-15,12.2,5.82412078491885e-16
"Notomys cervinus","Notomys cervinus",127,3748,35,35,-7.105427357601e-15,11.3,6.28798881203628e-16
"Thomasomys cinereus","Thomasomys cinereus",282,3385,77,77,1.4210854715202e-14,7.3,1.94669242674e-15
"Thomasomys daphne","Thomasomys daphne",283,3368,77,77,1.4210854715202e-14,7.3,1.94669242674e-15
"Thomasomys monochromos","Thomasomys monochromos",292,3375,77,77,1.4210854715202e-14,7.3,1.94669242674e-15
"Thomasomys niveipes","Thomasomys niveipes",293,3369,77,77,1.4210854715202e-14,7.3,1.94669242674e-15
"Oecomys cleberi","Oecomys cleberi",429,3550,73.4,73.4,-1.4210854715202e-14,4.8,2.96059473233375e-15
"Oecomys speciosus","Oecomys speciosus",438,3549,73.4,73.4,-1.4210854715202e-14,4.8,2.96059473233375e-15
"Callicebus brunneus","Callicebus brunneus",1442,4690,992.4,992.4,1.13686837721616e-13,2.6,4.37257068160062e-14
"Callicebus hoffmannsi","Callicebus hoffmannsi",1443,4690,992.4,992.4,1.13686837721616e-13,2.6,4.37257068160062e-14
"Taphozous longimanus","Taphozous longimanus",2247,5490,26.9,26.8700092421442,-0.0299907578558205,25.6,0.00117151397874299
"Lestoros inca","Lestoros inca",3175,6411,21.1,21.05,-0.0500000000000007,33.3,0.00150150150150152
"Rhyncholestes raphanurus","Rhyncholestes raphanurus",3176,6411,21,21.05,0.0500000000000007,33.3,0.00150150150150152
"Pipistrellus dormeri","Pipistrellus dormeri",2565,5843,6.9,6.84800032168615,-0.0519996783138525,27.8,0.00187049202567815
